,city,lat_lngs,lat,long,temp,max_temp,humidity,wind_speed,clouds
0,vinh,"(18.495342231751806, 105.7170262218495)",18.495342231751806,105.7170262218495,21.16,21.16,80,2.97,10
1,avesta,"(60.0680114495903, 16.144087647848465)",60.0680114495903,16.144087647848465,7.78,7.78,90,0.89,96
3,puerto baquerizo moreno,"(4.006735594219606, -87.47107657300468)",4.006735594219606,-87.47107657300468,24.0,24.0,64,4.1,20
4,vila franca do campo,"(38.08201524879573, -19.72549751125092)",38.08201524879573,-19.72549751125092,15.0,15.0,72,3.6,20
5,saint-philippe,"(-37.13270611119221, 63.74672163378679)",-37.13270611119221,63.74672163378679,20.22,23.0,83,3.1,0
6,san juan del sur,"(10.576392084598112, -86.98330486792833)",10.576392084598112,-86.98330486792833,25.0,25.0,94,7.21,75
7,lata,"(-8.644692638166177, 165.65049376452498)",-8.644692638166177,165.65049376452498,15.16,15.56,90,1.34,85
8,miles city,"(46.989395829767574, -106.06304897869205)",46.989395829767574,-106.06304897869205,8.0,8.0,65,3.6,1
9,port blair,"(12.084629168336932, 88.86921204985117)",12.084629168336932,88.86921204985117,27.2,27.2,80,3.29,0
10,punta arenas,"(-62.371422982093044, -97.45772881920344)",-62.371422982093044,-97.45772881920344,16.0,16.0,51,13.9,40
11,souillac,"(-57.04448909664641, 73.988400789547)",-57.04448909664641,73.988400789547,23.0,23.0,78,3.1,75
12,sao joao da barra,"(-22.512587201458302, -40.09442292682735)",-22.512587201458302,-40.09442292682735,25.0,25.0,65,5.1,75
13,raga,"(9.337421107300841, 24.583975638655232)",9.337421107300841,24.583975638655232,23.75,23.75,37,1.21,0
14,hilo,"(17.638719563828502, -143.4694513078516)",17.638719563828502,-143.4694513078516,24.93,27.0,69,3.1,90
16,jamestown,"(-25.195494559059654, -11.839960481355035)",-25.195494559059654,-11.839960481355035,18.7,19.0,37,3.1,1
17,arraial do cabo,"(-34.77132232902994, -32.905767653862824)",-34.77132232902994,-32.905767653862824,23.57,24.0,69,3.1,75
18,camana,"(-17.12045391254823, -73.44779655104827)",-17.12045391254823,-73.44779655104827,18.46,18.46,71,1.1,79
19,namur,"(50.52051823228959, 4.918606851863814)",50.52051823228959,4.918606851863814,9.02,10.0,81,2.1,90
20,hermanus,"(-85.53079967254223, -6.311209725729071)",-85.53079967254223,-6.311209725729071,15.56,15.56,84,3.58,0
21,panalingaan,"(11.575626513527553, 113.76088233065371)",11.575626513527553,113.76088233065371,25.97,25.97,81,1.99,100
22,san patricio,"(1.706841337533234, -118.78391086805749)",1.706841337533234,-118.78391086805749,26.43,27.78,61,6.7,20
23,progreso,"(22.991151879971255, -91.08830360534309)",22.991151879971255,-91.08830360534309,28.94,29.0,66,5.1,75
24,ushuaia,"(-88.19277311951487, -75.39851378948546)",-88.19277311951487,-75.39851378948546,16.0,16.0,41,5.7,75
25,warkworth,"(-36.1498104716031, 175.27046365700676)",-36.1498104716031,175.27046365700676,18.54,19.44,74,4.47,44
26,hasaki,"(25.695465399552802, 157.06143230646154)",25.695465399552802,157.06143230646154,12.65,13.0,100,1.0,75
28,kapaa,"(34.092269304791174, -174.24396751861352)",34.092269304791174,-174.24396751861352,26.25,28.0,78,6.2,40
29,shimoda,"(23.535654621876958, 142.90703087969734)",23.535654621876958,142.90703087969734,15.0,15.0,92,7.77,98
30,butaritari,"(27.298524161463035, 175.9695691425302)",27.298524161463035,175.9695691425302,27.25,27.25,72,4.77,100
31,constitucion,"(-33.56750128359855, -75.91464012521205)",-33.56750128359855,-75.91464012521205,18.13,18.13,56,7.32,0
32,albany,"(-48.56745904336441, 114.87971406660677)",-48.56745904336441,114.87971406660677,18.51,19.0,48,3.1,75
33,cherskiy,"(82.14911947062578, 162.99743904757133)",82.14911947062578,162.99743904757133,-15.25,-15.25,94,2.86,100
34,mataura,"(-86.4476442435722, -146.46880082316525)",-86.4476442435722,-146.46880082316525,10.56,10.56,57,4.47,65
35,ambilobe,"(-10.349198949669713, 49.84760642479475)",-10.349198949669713,49.84760642479475,23.66,23.66,80,1.83,100
36,hobart,"(-49.89123736448829, 148.20668725896985)",-49.89123736448829,148.20668725896985,8.54,9.44,75,4.1,20
37,margate,"(-36.22948458173473, 36.41152871312792)",-36.22948458173473,36.41152871312792,11.32,12.22,91,0.89,95
39,daru,"(-10.370107132212652, 142.11663493106516)",-10.370107132212652,142.11663493106516,24.76,24.76,91,2.48,98
40,rikitea,"(-55.172026689322884, -136.32822742183066)",-55.172026689322884,-136.32822742183066,21.92,21.92,72,7.52,42
41,mehamn,"(77.51358267978966, 28.333200981304202)",77.51358267978966,28.333200981304202,3.58,3.58,75,11.01,73
42,portland,"(-53.332840803435566, 131.88285560456586)",-53.332840803435566,131.88285560456586,7.97,9.0,81,4.1,90
43,bluff,"(-64.68899759577232, 167.67506013393893)",-64.68899759577232,167.67506013393893,10.56,10.56,57,4.47,5
44,marzuq,"(24.418694075785382, 16.089810547836493)",24.418694075785382,16.089810547836493,18.42,18.42,56,1.49,5
45,castro,"(-47.164685525022094, -108.07917267880019)",-47.164685525022094,-108.07917267880019,21.93,21.93,51,1.61,0
46,barrow,"(87.95118540259412, -144.68787317495568)",87.95118540259412,-144.68787317495568,-1.0,-1.0,92,10.3,90
47,bartica,"(5.657722478277748, -59.184369747757174)",5.657722478277748,-59.184369747757174,27.0,27.0,94,3.1,40
48,los llanos de aridane,"(24.706289033569675, -21.817447925121343)",24.706289033569675,-21.817447925121343,20.0,20.0,64,3.6,20
49,tezu,"(28.84868731550843, 97.20972955773175)",28.84868731550843,97.20972955773175,18.87,18.87,41,1.85,0
50,la ronge,"(58.36521353763473, -106.43551699783055)",58.36521353763473,-106.43551699783055,-6.0,-6.0,73,3.6,100
51,puerto ayora,"(-22.62112686255803, -106.69073574447845)",-22.62112686255803,-106.69073574447845,23.58,26.0,65,10.3,20
52,atuona,"(0.892743085090288, -152.69845700364596)",0.892743085090288,-152.69845700364596,25.48,25.48,70,5.99,66
53,winona,"(44.43895939461174, -91.71744468254208)",44.43895939461174,-91.71744468254208,22.4,22.78,61,3.13,18
54,hithadhoo,"(-1.864134277997067, 79.51794578734683)",-1.864134277997067,79.51794578734683,28.26,28.26,74,4.36,89
55,avarua,"(-57.4279279607668, -165.77859292839827)",-57.4279279607668,-165.77859292839827,25.0,25.0,73,3.68,99
56,bethel,"(46.81346903410582, -161.34848515091502)",46.81346903410582,-161.34848515091502,20.7,22.0,35,2.6,1
57,san cristobal,"(-11.924562819276048, -90.8004405405664)",-11.924562819276048,-90.8004405405664,29.0,29.0,70,5.1,40
58,jatai,"(-18.508179306590208, -52.04184150362178)",-18.508179306590208,-52.04184150362178,30.02,30.02,39,2.47,53
59,celendin,"(-6.736261746319968, -78.21253675226954)",-6.736261746319968,-78.21253675226954,22.0,22.0,26,3.6,75
60,esperance,"(-33.653377198631674, 124.66801367265697)",-33.653377198631674,124.66801367265697,13.0,13.0,100,3.1,75
61,fukue,"(34.382612613010906, 127.85599527569076)",34.382612613010906,127.85599527569076,18.78,18.78,51,9.49,10
62,port alfred,"(-64.83725050021948, 34.7267352492629)",-64.83725050021948,34.7267352492629,20.49,20.49,90,3.01,8
63,mantua,"(23.624793981756696, -86.04222104319396)",23.624793981756696,-86.04222104319396,9.4,10.56,96,1.34,2
64,penzance,"(49.414124634279176, -5.4434944883985565)",49.414124634279176,-5.4434944883985565,13.0,13.0,100,6.2,100
67,caravelas,"(-18.01252842949232, -36.300206960061615)",-18.01252842949232,-36.300206960061615,24.71,24.71,84,2.6,0
68,lagoa,"(46.15550646263776, -25.90849576750722)",46.15550646263776,-25.90849576750722,16.16,16.16,73,8.85,0
70,baoding,"(38.87278296738654, 115.55492159555604)",38.87278296738654,115.55492159555604,4.01,4.01,55,2.4,0
71,fortuna,"(38.572109704043044, -139.8274584904708)",38.572109704043044,-139.8274584904708,12.63,13.33,54,7.7,1
72,bonavista,"(51.47978558181529, -48.057540277095825)",51.47978558181529,-48.057540277095825,3.2,5.0,82,2.1,89
73,yellowknife,"(71.1231435985099, -110.1387704942617)",71.1231435985099,-110.1387704942617,-11.74,-11.11,85,2.1,75
74,rio grande,"(-42.69565044423452, -39.87553852721001)",-42.69565044423452,-39.87553852721001,22.0,22.0,73,8.2,75
75,banda aceh,"(2.3826269115300107, 91.24772290351302)",2.3826269115300107,91.24772290351302,25.81,25.81,79,1.06,99
76,jaguariuna,"(-22.65297387921403, -46.93830277828059)",-22.65297387921403,-46.93830277828059,32.0,32.0,21,5.7,0
77,acapulco,"(10.2875611769269, -103.2714322674697)",10.2875611769269,-103.2714322674697,31.0,31.0,70,2.1,5
78,busselton,"(-42.2401887641726, 96.58497247972929)",-42.2401887641726,96.58497247972929,11.59,12.78,66,1.43,50
79,ust-kuyga,"(70.05187445743297, 135.96758047041249)",70.05187445743297,135.96758047041249,-30.58,-30.58,85,2.11,100
80,poya,"(-26.444273974799103, 161.63834262233297)",-26.444273974799103,161.63834262233297,25.07,25.07,70,3.9,45
81,akdepe,"(42.31741851461962, 57.51740920083836)",42.31741851461962,57.51740920083836,10.5,11.0,71,3.1,0
82,hambantota,"(4.38095369281568, 83.4555588393352)",4.38095369281568,83.4555588393352,26.24,26.24,80,4.4,0
83,lebu,"(-37.975489952181825, -99.97934325852259)",-37.975489952181825,-99.97934325852259,13.33,13.33,63,10.39,0
